condid,siteindex,site_baseage,stand_age,ba,df_ba,tpa,bdft,tcuft,topht,df_pctba,siteclass,qmd
22962158010497,84,100,90,11.1628318,11.1628318,2.022994148,1935.574738,402.9481381,118.5,402.9481381,5,31.80725416
22962165010497,130,100,15,56.61941788,39.21223715,385.8269693,97.49301003,459.9782049,34.25,459.9782049,3,5.187077193
22962181010497,126,100,20,54.65237152,53.68559521,133.7352969,1701.295222,1016.337832,51,1016.337832,3,8.656010702
22962203010497,85,100,95,234.2319522,112.9163159,276.9559432,29901.2922,7510.22294,104.7619048,7510.22294,5,12.45242763
22962206010497,116,100,92,270.9695388,192.9667603,147.8951241,44366.95304,9746.164753,115.125,9746.164753,4,18.32819133
22962210010497,101,100,70,83.14757572,54.95595065,123.2970334,7873.579534,2338.04815,66.5,2338.04815,4,11.11948783
22962218010497,136,100,75,128.9785918,81.515967,311.1712875,23750.362,4750.757941,167.4,4750.757941,3,8.717568306
22962236010497,95,100,75,119.0559088,45.56596688,302.0779917,4648.722828,3018.893705,68.22222222,3018.893705,4,8.500651983
22962254010497,136,100,25,140.3449871,134.0303114,217.5419013,9284.016002,3445.771539,63.53125,3445.771539,3,10.87585213
22962268010497,72,100,100,106.6369396,105.359758,88.10608092,13376.31596,3318.739416,72.91666667,3318.739416,5,14.89660137
248647655489998,138,100,65,263.3789963,223.9834135,217.3435174,53906.35773,11860.24568,127.5882353,11860.24568,3,14.90573944
248648663489998,122,100,144,322.3831434,322.3831434,55.5142284,62202.6746,16510.51459,208.2105263,16510.51459,4,32.6302432
248648848489998,132,100,35,68.84303341,31.87297589,178.8779682,5052.139343,1736.716519,70.92857143,1736.716519,3,8.400166114
248648850489998,132,100,22,73.58465133,23.06342549,474.5484503,2177.971547,1495.184145,46.75862069,1495.184145,3,5.331993856
248649053489998,78,100,310,510.0133548,281.70124,331.295743,113466.1328,24362.95435,158.4772727,24362.95435,5,16.80038168
248649867489998,88,50,166,224.7621382,152.3583485,344.9352063,33911.50443,8220.684514,129.4210526,8220.684514,4,10.93022539
248650591489998,79,100,170,310.2429376,303.5591954,331.1613893,55162.03345,12034.72856,121.1304348,12034.72856,5,13.10591678
248651137489998,121,50,210,315.4064244,226.858728,234.8609058,77647.26016,14286.46359,189.5,14286.46359,2,15.69156296
248651625489998,101,100,110,304.7559747,195.3466984,279.8709984,45093.02884,12008.69503,124.8125,12008.69503,4,14.12971713
