"CaseID","StandID","Year","SP1","SP2","BA_FT1","BA_FT2","PERBA1","PREBA2"
"9799f3c1-61b3-48d5-95bf-3a502d7f062d","1201041060104100981660001",2014,22.00,6.00,103.72,4.80,0.95,0.04
"ff6cc584-6826-478b-843d-27ab9c365b22","1201041060104700748380001",2014,22.00,21.00,53.76,50.75,0.51,0.48
"0467888b-7f7a-4528-a8b9-75b780476499","1201041060105100567600001",2014,21.00,0.00,51.29,144.56,0.35,1.00
"466ea691-ddfc-4821-b9f9-2edfc71319dd","1201041060105300708060001",2014,0.00,0.00,0.00,0.00,,
"c008ede3-78ed-434b-9d90-57ab1b0f4c47","1201041060105300708060002",2014,16.00,19.00,183.99,69.90,0.58,0.22
"db88a3ee-60da-43b9-896e-ec4452dc3c36","1201041060105300767790001",2014,16.00,0.00,137.99,154.49,0.89,1.00
"f0cd2fe1-1ade-47da-92fd-e73591a97faf","1201041060105300949190001",2014,16.00,0.00,5.97,5.97,1.00,1.00
"6b5c6361-5873-463e-b79f-1283024e0043","1201041060105300969230001",2014,16.00,0.00,260.26,260.26,1.00,1.00
"394ad018-f56f-4ff9-ac7b-f90bd81a476a","1201041060105300973040001",2014,16.00,0.00,124.31,157.43,0.78,0.99
"4c5c626f-1225-436d-b0dc-ab705d38ad90","1201041060105700510720001",2014,16.00,0.00,149.31,205.91,0.72,0.99
"555642cd-5544-4033-b921-7d5333c4bcfc","1201041060105700522800001",2014,22.00,0.00,59.52,109.03,0.54,0.99
"d4e4efae-0c6d-47b9-9342-472eedc22289","1201041060105700571950001",2014,19.00,0.00,221.72,261.80,0.84,1.00
"0272fea4-53cd-49f3-a4f3-551321ea0009","1201041060105700735240001",2014,16.00,19.00,161.91,15.99,0.91,0.08
"e523dfcd-ed68-4f76-947e-094812d1097a","1201041060105700788490001",2014,22.00,0.00,103.85,309.22,0.33,1.00
"b7abee46-7e60-4ac6-9f4c-11b87107dfb4","1201041060105700808470001",2014,22.00,6.00,70.88,3.93,0.55,0.03
"0e65defa-2dc4-4543-a3a5-72114a6f0de5","1201041060105700815070001",2014,16.00,0.00,141.95,177.25,0.80,0.99
"30e649eb-8529-478f-ad62-56f0e46e5a27","1201041060105700858150001",2014,11.00,19.00,94.58,1.18,0.86,0.01
"6e16b749-09c1-496f-8de5-1eda8dcf60c8","1201041060105700959840001",2014,16.00,0.00,248.96,261.84,0.95,1.00
"f75391b1-47aa-4bcd-9534-1afb9dd04e52","1201041060105700977660001",2014,16.00,0.00,258.14,286.03,0.90,1.00
"f8d9a048-16d9-427b-8d47-70922b2aa5fe","1201041060105700996670002",2014,16.00,0.00,70.66,129.80,0.54,0.99
"9d25a91f-9fe0-4f41-8095-181476a53792","1201041060106700508900001",2014,16.00,0.00,99.02,99.02,1.00,1.00
