StandID,StandCN
2660,25795
2662,25795
2666,141335
2668,25795
2669,25795
267,84118
2670,25795
2671,42
2672,506
2674,1335
2678,145709
2679,42
268,645
2681,87646
2686,141335
2688,30292
269,84118
2690,25795
2697,488
27,30382
270,84118
2705,21522
2709,83956
271,84118
2712,29156
2726,150834
273,107230
2738,89720
2746,146629
275,1831
2755,146629
2757,142532
2759,132380
276,141044
2760,146629
2762,86601
2763,134996
2769,1956
2772,134063
2773,135945
2774,150319
2775,137783
2777,133827
2778,145696
2779,79948
278,694
2780,231
2781,1968
2782,150319
2783,1992
2785,145846
2786,82140
2787,278
2788,231
279,141044
2790,82140
2791,137820
2794,137820
2795,25676
2796,107333
2797,141631
2798,141785
2799,16663
28,84694
280,141044
2800,141632
2801,1456
2802,1890
2803,1909
2804,82140
2806,1909
2807,145794
2808,1909
2809,30577
281,693
2810,135945
2811,1961
2812,1909
2813,141688
2814,82140
2815,1968
2816,107333
2817,141632
2819,1909
2820,16857
2821,1898
2822,149613
2824,149969
2827,16417
2828,25676
2829,83378
2830,1919
2831,135945
2832,136139
2833,141734
2834,9849
2835,1909
2838,1893
2840,135945
2841,30568
2842,208
2843,145846
2844,141688
2845,233
2846,137820
2847,135945
2848,79948
2850,132974
2851,137820
2852,141631
2854,137820
2855,1909
2856,130845
2858,134063
286,616
2860,137820
2861,141688
2862,130794
2863,26655
2864,21132
2865,137783
2867,141785
2869,16417
287,141044
2870,137783
2871,26194
2872,1909
2873,1909
2874,141631
2875,136139
2876,137820
2877,145708
2878,141688
2879,25676
288,141165
2880,150178
2882,26457
2883,141688
2885,131566
2887,80549
2889,1456
2892,83378
2893,137820
2894,16417
2895,141688
2896,149613
2898,26655
2899,1916
290,107230
2900,134063
2901,80549
2902,1909
2903,268
2904,130794
2905,82140
2906,134063
2907,1465
2908,130794
2909,149613
291,107212
2910,136139
2912,82140
2913,135945
2914,25676
2915,82140
2916,134063
2918,208
2919,135945
2920,1893
2921,83378
2922,141632
2923,83378
2924,83378
2925,135945
2926,137820
2927,83378
2928,137820
293,141044
2930,82140
2932,141631
2933,1893
2935,135945
2936,130794
2937,1992
2939,82140
294,141372
2940,83378
2941,141688
2942,137820
2943,268
2944,1956
2946,137820
2947,83378
2949,128333
295,149468
2950,1956
2951,1909
2952,231
2953,78944
2954,83378
2955,1890
2956,1956
2958,1893
2959,146012
2960,1992
2961,236
2962,1961
2963,79948
2964,141820
2965,145846
2966,78944
2967,1456
2968,208
2969,1909
297,141372
2971,135945
2972,1975
2973,1909
2974,82133
2975,25676
